,VEHICLEID,TMD_SRCE_ENTITY,TOTALMILEAGEVALUE,MAKE,MODEL,CATALOG_PRICE_ACCESSORIES,CATALOG_PRICE_CAR,FIRSTUSE,MANUFACTUREYEAR,COLOR,DOORS,NUMBER_OF_SEATS,TYPE,FUELTYPE,GEARTYPE,VEHICLEKIND,BODYTYPE_CONS,HORSEPOWER,ENGINECAPACITY,CYLINDERCAPACITY,SALES_CHANNEL,SELLPRICE_CAR,DAMAGE_CURRENT,DAMAGE_COUNT,DAMAGE_CATEGORY,DAMAGE_LARGE_CATEGORY,DAMAGE_MAX,DEMAND_RANK,DAMAGE_RANK,RANK
124,497867,LPNL,229086,AUDI,A6 Avant,0.0,49448.0,00:00.0,2010,Grijs Metallic,5.0,,2.0 TDI 125kW multitronic 5d,DIESEL,VARIOMATIC,CAR,Other,0.0,125.0,,TO BE DETERMINED,,590.7,2.0,6.0,1.0,219.7,0.5466666666666666,0.76,0.7466666666666667
111,505188,LPNL,151856,RENAULT,Mégane Estate,1116.44,21406.75,00:00.0,2013,Wit Lak,5.0,,ENERGY dCi 110 S & S ECO2 Expression 5d,DIESEL,MANUAL,CAR,Other,0.0,81.0,,TO BE DETERMINED,,776.9,2.0,6.0,1.0,297.3,0.65,0.6466666666666666,0.74
105,504548,LPNL,157023,AUDI,A4 Avant,0.0,36366.55,00:00.0,2014,Zwart Metallic,5.0,,1.8 TFSI 125kW Sport Edition 5d,GASOLINE,MANUAL,CAR,Other,0.0,125.0,,TO BE DETERMINED,,663.75,2.0,4.0,2.0,262.0,0.59,0.6866666666666666,0.73
93,506428,LPNL,28112,TOYOTA,Yaris,0.0,13395.14,00:00.0,2016,Grijs Metallic,5.0,,1.0 VVT-i Aspiration 5d,GASOLINE,MANUAL,CAR,Other,0.0,51.0,,TO BE DETERMINED,,979.26,2.0,4.0,3.0,391.6,0.8566666666666667,0.42,0.73
3,506308,LPNL,68375,LEXUS,CT,3024.36,23710.74,00:00.0,2014,Bruin Metallic,5.0,,200h Hybrid Business Line 5d,HYBRID_PETROL,VARIOMATIC,CAR,Other,0.0,73.0,,TO BE DETERMINED,,1382.5,2.0,7.0,4.0,371.3,1.0,0.26666666666666666,0.72
49,492548,LPNL,142151,VOLVO,V40,570.25,24565.89,00:00.0,2014,Grijs Metallic,5.0,,D4 Business Momentum 5d,DIESEL,MANUAL,CAR,Other,0.0,140.0,,TO BE DETERMINED,,300.0,2.0,2.0,1.0,225.0,0.37666666666666665,0.8833333333333333,0.7133333333333334
36,502388,LPNL,202471,SKODA,Octavia Combi,0.0,22628.0,00:00.0,2014,Blauw Lak,5.0,,1.6 TDI 81kW Greenline Businessline 5d,DIESEL,MANUAL,CAR,Other,0.0,81.0,,TO BE DETERMINED,,373.0,2.0,4.0,1.0,225.0,0.42333333333333334,0.8333333333333334,0.7066666666666667
18,503547,LPNL,49116,VOLKSWAGEN,Polo,0.0,14498.95,00:00.0,2015,Zwart Lak,5.0,,1.0 TSI 70kW BlueMotion 5d,GASOLINE,MANUAL,CAR,Other,0.0,70.0,,TO BE DETERMINED,,1116.85,2.0,8.0,2.0,225.0,0.74,0.5066666666666667,0.7
45,503227,LPNL,98608,MINI,MINI,0.0,17915.14,00:00.0,2013,Zwart Metallic,3.0,,Holland Street One 55 kW 3d,GASOLINE,MANUAL,CAR,Other,0.0,55.0,,TO BE DETERMINED,,1239.88,2.0,6.0,3.0,337.9,0.8766666666666667,0.36666666666666664,0.6933333333333334
123,502467,LPNL,174572,RENAULT,Mégane Van,125.0,18590.0,00:00.0,2014,Wit Lak,5.0,,Energy dCi 110 Stop & Start Expression 5,DIESEL,MANUAL,TRUCK,Other,0.0,81.0,,TO BE DETERMINED,,1165.4,2.0,7.0,3.0,381.2,0.9266666666666666,0.31333333333333335,0.6833333333333333
141,502187,LPNL,72955,VOLKSWAGEN,Golf,0.0,19969.6,00:00.0,2014,Blauw Metallic,5.0,,1.2 TSI Comfortline 5d,GASOLINE,MANUAL,CAR,Other,0.0,77.0,,TO BE DETERMINED,,944.9,2.0,5.0,3.0,280.6,0.74,0.5,0.6833333333333333
135,501307,LPNL,138735,OPEL,Insignia Sports Tour,0.0,25519.0,00:00.0,2012,Wit Lak,5.0,,1.4 Turbo ecoFLEX S&S Business Edition 5,GASOLINE,MANUAL,CAR,Other,0.0,103.0,,TO BE DETERMINED,,524.2,2.0,3.0,0.0,189.25,0.31333333333333335,0.9066666666666666,0.6733333333333333
